CURSO	CÓDIGO DE TURMA	TURMA	TEORIA	PRÁTICA	CAMPUS	TURNO	T-P-I	DOCENTE TEORIA	DOCENTE TEORIA 2	DOCENTE PRÁTICA	DOCENTE PRÁTICA 2
BACHARELADO EM BIOTECNOLOGIA	DA1NHT1002-15SA	Bioética A1-diurno (Santo André)	segunda das 10:00 às 12:00, sala L604, semanal	0	Santo André	diurno	2-0-2	ANA PAULA DE MATTOS AREAS DAU			
BACHARELADO EM BIOTECNOLOGIA	NA1NHT1002-15SA	Bioética A1-noturno (Santo André)	segunda das 19:00 às 21:00, sala L604, semanal	0	Santo André	noturno	2-0-2	ANA PAULA DE MATTOS AREAS DAU			
BACHARELADO EM BIOTECNOLOGIA	DANHZ1009-15SA	Biologia Molecular e Biotecnologia A-diurno (Santo André)	sexta das 09:00 às 12:00, sala 302-2, semanal	0	Santo André	diurno	3-0-3	JULIANA CARDINALI REZENDE			
BACHARELADO EM BIOTECNOLOGIA	NANHZ1009-15SA	Biologia Molecular e Biotecnologia A-noturno (Santo André)	sexta das 19:00 às 22:00, sala 302-2, semanal	0	Santo André	noturno	3-0-3	MILCA RACHEL DA COSTA RIBEIRO LINS			
BACHARELADO EM BIOTECNOLOGIA	DANHZ1027-15SA	Farmacologia A-diurno (Santo André)	terça das 10:00 às 12:00, sala S-310-3, semanal , quinta das 08:00 às 10:00, sala S-304-2, semanal	quinta das 10:00 às 12:00, sala 402-3, semanal	Santo André	diurno	4-2-4	CESAR AUGUSTO RIBEIRO		CESAR AUGUSTO RIBEIRO	
BACHARELADO EM BIOTECNOLOGIA	NANHZ1027-15SA	Farmacologia A-noturno (Santo André)	terça das 21:00 às 23:00, sala S-304-2, semanal , quinta das 19:00 às 21:00, sala S-310-3, semanal	quinta das 21:00 às 23:00, sala 402-3, semanal	Santo André	noturno	4-2-4	FULVIO RIELI MENDES		FULVIO RIELI MENDES	
BACHARELADO EM BIOTECNOLOGIA	DANHZ6010-18SA	Genômica e Pós-Genômica A-diurno (Santo André)	0	segunda das 08:00 às 12:00, sala 408-2, semanal , quarta das 10:00 às 12:00, sala 408-2, semanal	Santo André	diurno	4-2-6	MILCA RACHEL DA COSTA RIBEIRO LINS		MILCA RACHEL DA COSTA RIBEIRO LINS	
BACHARELADO EM BIOTECNOLOGIA	NANHZ6010-18SA	Genômica e Pós-Genômica A-noturno (Santo André)	0	segunda das 19:00 às 23:00, sala 408-2, semanal , quarta das 19:00 às 21:00, sala 408-2, semanal	Santo André	noturno	4-2-6	NATHALIA DE SETTA COSTA	MARCELLA PECORA MILAZZOTTO	NATHALIA DE SETTA COSTA	MARCELLA PECORA MILAZZOTTO
BACHARELADO EM BIOTECNOLOGIA	DAESZB015-17SA	Laboratório de Bioinformática A-diurno (Santo André)	0	quarta das 08:00 às 12:00, sala L503, semanal	Santo André	diurno	0-4-5			DANILO TRABUCO DO AMARAL	
BACHARELADO EM BIOTECNOLOGIA	NAESZB015-17SA	Laboratório de Bioinformática A-noturno (Santo André)	0	quarta das 19:00 às 23:00, sala L503, semanal	Santo André	noturno	0-4-5			DANILO TRABUCO DO AMARAL	
BACHARELADO EM BIOTECNOLOGIA	DANHBT005-23SA	Práticas Extensionistas em Biotecnologia A-diurno (Santo André)	0	segunda das 09:00 às 12:00, sala L501, semanal	Santo André	diurno	2-1-8	CRISTINA RIBAS FURSTENAU		CRISTINA RIBAS FURSTENAU	
BACHARELADO EM BIOTECNOLOGIA	NANHBT005-23SA	Práticas Extensionistas em Biotecnologia A- noturno (Santo André)	0	segunda das 20:00 às 23:00, sala L502, semanal	Santo André	noturno	2-1-8	JULIANA CARDINALI REZENDE		JULIANA CARDINALI REZENDE	
BACHARELADO EM BIOTECNOLOGIA	DANHZ6007-18SA	Segurança e Regulamentação em Biotecnologia A- diurno (Santo André)	terça das 08:00 às 10:00, sala S-502, semanal	0	Santo André	diurno	2-0-4	CRISTINA RIBAS FURSTENAU			
BACHARELADO EM BIOTECNOLOGIA	NANHZ6007-18SA	Segurança e Regulamentação em Biotecnologia A- noturno (Santo André)	terça das 19:00 às 21:00, sala S-504, semanal	0	Santo André	noturno	2-0-4	CRISTINA RIBAS FURSTENAU			
BACHARELADO EM BIOTECNOLOGIA	DANHZ6014-18SA	Trabalho de Conclusão de Curso de Biotecnologia A diurno (Santo André)	quinta das 10:00 às 12:00, sala S-304-2, semanal	0	Santo André	diurno	2-0-2	TALES ALEXANDRE DA COSTA E SILVA			
BACHARELADO EM BIOTECNOLOGIA	NANHZ6014-18SA	Trabalho de Conclusão de Curso de Biotecnologia A noturno (Santo André)	quinta das 19:00 às 21:00, sala S-304-2, semanal	0	Santo André	noturno	2-0-2	DANILO TRABUCO DO AMARAL			
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DA1MCTA001-17SA	Algoritmos e Estruturas de Dados I A1-diurno (Santo André)	quinta das 10:00 às 12:00, sala S-204-0, semanal	segunda das 08:00 às 10:00, sala 407-2, semanal	Santo André	diurno	2-2-4	DIOGO SANTANA MARTINS		DIOGO SANTANA MARTINS	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NA1MCTA001-17SA	Algoritmos e Estruturas de Dados I A1-noturno (Santo André)	quinta das 21:00 às 23:00, sala S-214-0, semanal	segunda das 19:00 às 21:00, sala 407-2, semanal	Santo André	noturno	2-2-4	ALEXANDRE NOMA		ALEXANDRE NOMA	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DA2MCTA001-17SA	Algoritmos e Estruturas de Dados I A2-diurno (Santo André)	quinta das 10:00 às 12:00, sala S-204-0, semanal	segunda das 10:00 às 12:00, sala 407-2, semanal	Santo André	diurno	2-2-4	DIOGO SANTANA MARTINS		DIOGO SANTANA MARTINS	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NA2MCTA001-17SA	Algoritmos e Estruturas de Dados I A2-noturno (Santo André)	quinta das 21:00 às 23:00, sala S-214-0, semanal	segunda das 21:00 às 23:00, sala 407-2, semanal	Santo André	noturno	2-2-4	ALEXANDRE NOMA		ALEXANDRE NOMA	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DPMCTA004-17SA	Arquitetura de Computadores P-diurno (Santo André) - TURMA COMPARTILHADA COM A PÓS- GRADUAÇÃO	terça das 14:00 às 16:00, sala S - 306-1, semanal , quinta das 16:00 às 18:00, sala S - 306-1, semanal	0	Santo André	diurno	4-0-4	RAPHAEL YOKOINGAWA DE CAMARGO			
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DA1MCTA006-17SA	Circuitos Digitais A1-diurno (Santo André)	quinta das 08:00 às 10:00, sala A-114-0, semanal	terça das 08:00 às 10:00, sala 406-2, semanal	Santo André	diurno	3-1-4	HUGO PUERTAS DE ARAÚJO		HUGO PUERTAS DE ARAÚJO	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NA1MCTA006-17SA	Circuitos Digitais A1-noturno (Santo André)	quinta das 19:00 às 21:00, sala A-108-0, semanal	terça das 19:00 às 21:00, sala 406-2, semanal	Santo André	noturno	3-1-4	FRANCISCO JAVIER ROPERO PELAEZ		FRANCISCO JAVIER ROPERO PELAEZ	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DA2MCTA006-17SA	Circuitos Digitais A2-diurno (Santo André)	quinta das 08:00 às 10:00, sala A-114-0, semanal	terça das 10:00 às 12:00, sala 406-2, semanal	Santo André	diurno	3-1-4	HUGO PUERTAS DE ARAÚJO		HUGO PUERTAS DE ARAÚJO	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NA2MCTA006-17SA	Circuitos Digitais A2-noturno (Santo André)	quinta das 19:00 às 21:00, sala A-108-0, semanal	terça das 21:00 às 23:00, sala 406-2, semanal	Santo André	noturno	3-1-4	FRANCISCO JAVIER ROPERO PELAEZ		FRANCISCO JAVIER ROPERO PELAEZ	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NAMCZA006-17SA	Computação Evolutiva e Conexionista A-noturno (Santo André)	terça das 21:00 às 23:00, sala S-214-0, semanal , quinta das 19:00 às 21:00, sala S-214-0, semanal	0	Santo André	noturno	4-0-4	HUGO PUERTAS DE ARAÚJO		HUGO PUERTAS DE ARAÚJO	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DAMCZA053-22SA	Desenvolvimento Guiado por Tipos A-diurno (Santo André)	segunda das 10:00 às 12:00, sala S-214-0, semanal , quarta das 08:00 às 10:00, sala S-214- 0, semanal	0	Santo André	diurno	4-0-4	FABRICIO OLIVETTI DE FRANÇA		FABRICIO OLIVETTI DE FRANÇA	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DAMCTA033-15SA	Engenharia de Software A-diurno (Santo André)	terça das 10:00 às 12:00, sala A-114-0, semanal , sexta das 08:00 às 10:00, sala A-114-0, semanal	0	Santo André	diurno	4-0-4	JULIANA CRISTINA BRAGA		JULIANA CRISTINA BRAGA	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NAMCTA033-15SA	Engenharia de Software A-noturno (Santo André)	terça das 21:00 às 23:00, sala A-114-0, semanal , sexta das 19:00 às 21:00, sala A-114-0, semanal	0	Santo André	noturno	4-0-4	CARLOS DA SILVA DOS SANTOS		CARLOS DA SILVA DOS SANTOS	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DPMCTA033-15SA	Engenharia de Software P-diurno (Santo André) - TURMA COMPARTILHADA COM A PÓS- GRADUAÇÃO	terça das 16:00 às 18:00, sala S - 307-2, semanal , quinta das 14:00 às 16:00, sala S - 307-2, semanal	0	Santo André	diurno	4-0-4	JULIANA CRISTINA BRAGA			
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DAMCZA008-17SA	Interação Humano-Computador A-diurno (Santo André)	terça das 10:00 às 12:00, sala S-214-0, semanal , quinta das 08:00 às 10:00, sala S-214-0, semanal	0	Santo André	diurno	4-0-4	CARLA LOPES RODRIGUEZ		CARLA LOPES RODRIGUEZ	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DAMCTA015-13SA	Linguagens Formais e Automata A-diurno (Santo André)	terça das 08:00 às 10:00, sala A-114-0, semanal , quinta das 10:00 às 12:00, sala A-114-0, semanal	0	Santo André	diurno	3-1-4	ALEXANDRE DONIZETI ALVES		ALEXANDRE DONIZETI ALVES	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NAMCTA015-13SA	Linguagens Formais e Automata A-noturno (Santo André)	terça das 19:00 às 21:00, sala A-114-0, semanal , quinta das 21:00 às 23:00, sala A-114-0, semanal	0	Santo André	noturno	3-1-4	MARIO LESTON REY		MARIO LESTON REY	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DAMCZA013-13SA	Lógicas Não Clássicas A-diurno (Santo André)	terça das 08:00 às 10:00, sala S-504, semanal , quinta das 10:00 às 12:00, sala S-504, semanal	0	Santo André	diurno	4-0-4	MARIO LESTON REY		MARIO LESTON REY	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DAMCTB019-17SA	Matemática Discreta A-diurno (Santo André)	quarta das 10:00 às 12:00, sala S-214-0, semanal , sexta das 08:00 às 10:00, sala S-214- 0, semanal	0	Santo André	diurno	4-0-4	MITUHIRO FUKUDA		MITUHIRO FUKUDA	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NAMCTB019-17SA	Matemática Discreta A-noturno (Santo André)	quarta das 21:00 às 23:00, sala A-108-0, semanal , sexta das 19:00 às 21:00, sala A-108- 0, semanal	0	Santo André	noturno	4-0-4	FRANCISCO JOSE GOZZI		FRANCISCO JOSE GOZZI	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DA2MCTB019-17SA	Matemática Discreta A2-diurno (Santo André)	quarta das 10:00 às 12:00, sala S-208-0, semanal , sexta das 08:00 às 10:00, sala S-208- 0, semanal	0	Santo André	diurno	4-0-4	JAIR DONADELLI JUNIOR			
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NA1MCZA015-13SA	Mineração de Dados A1-noturno (Santo André)	quarta das 19:00 às 21:00, sala A-108-0, semanal	sexta das 21:00 às 23:00, sala 407-2, semanal	Santo André	noturno	3-1-4	DEBORA MARIA ROSSI DE MEDEIROS		DEBORA MARIA ROSSI DE MEDEIROS	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NA2MCZA015-13SA	Mineração de Dados A2-noturno (Santo André)	quarta das 19:00 às 21:00, sala A-108-0, semanal	sexta das 19:00 às 21:00, sala 409-2, semanal	Santo André	noturno	3-1-4	DEBORA MARIA ROSSI DE MEDEIROS		DEBORA MARIA ROSSI DE MEDEIROS	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NB1MCZA018-17SA	Processamento Digital de Imagens B1-noturno (Santo André)	0	quarta das 21:00 às 23:00, sala 405-2, semanal , sexta das 19:00 às 21:00, sala 405-2, semanal	Santo André	noturno	3-1-4	ALEXANDRE NOMA		ALEXANDRE NOMA	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DB2MCTA022-17SA	Redes de Computadores B2-diurno (Santo André)	quarta das 08:00 às 10:00, sala A-114-0, quinzenal II, sexta das 10:00 às 12:00, sala A- 114-0, semanal	quarta das 08:00 às 10:00, sala 404-2, quinzenal I	Santo André	diurno	3-1-4	RODRIGO IZIDORO TININI		RODRIGO IZIDORO TININI	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NB2MCTA022-17SA	Redes de Computadores B2-noturno (Santo André)	quarta das 19:00 às 21:00, sala A-106-0, quinzenal II, sexta das 21:00 às 23:00, sala A- 107-0, semanal	quarta das 19:00 às 21:00, sala 404-2, quinzenal I	Santo André	noturno	3-1-4	CARLO KLEBER DA SILVA RODRIGUES		CARLO KLEBER DA SILVA RODRIGUES	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DB1MCTA022-17SA	Redes de Computadores B1-diurno (Santo André)	quarta das 10:00 às 12:00, sala A-114-0, quinzenal II, sexta das 10:00 às 12:00, sala A- 114-0, semanal	quarta das 10:00 às 12:00, sala 404-2, quinzenal I	Santo André	diurno	3-1-4	RODRIGO IZIDORO TININI		RODRIGO IZIDORO TININI	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NB1MCTA022-17SA	Redes de Computadores B1-noturno (Santo André)	quarta das 21:00 às 23:00, sala A-106-0, quinzenal II, sexta das 21:00 às 23:00, sala A- 108-0, semanal	quarta das 21:00 às 23:00, sala 404-2, quinzenal I	Santo André	noturno	3-1-4	CARLO KLEBER DA SILVA RODRIGUES		CARLO KLEBER DA SILVA RODRIGUES	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DPMCTA022-17SA	Redes de Computadores P-diurno (Santo André) - TURMA COMPARTILHADA COM A PÓS- GRADUAÇÃO	quarta das 16:00 às 18:00, sala S - 306-1, semanal , sexta das 14:00 às 16:00, sala S - 306- 1, semanal	0	Santo André	diurno	3-1-4	VLADIMIR EMILIANO MOREIRA ROCHA			
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DA1MCTA023-17SA	Segurança de Dados A1-diurno (Santo André)	segunda das 08:00 às 10:00, sala A-108-0, semanal	quarta das 10:00 às 12:00, sala 407-2, semanal	Santo André	diurno	3-1-4	DENISE HIDEKO GOYA		DENISE HIDEKO GOYA	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NA1MCTA023-17SA	Segurança de Dados A1-noturno (Santo André)	segunda das 19:00 às 21:00, sala A-108-0, semanal	quarta das 19:00 às 21:00, sala 407-2, semanal	Santo André	noturno	3-1-4	RODRIGO AUGUSTO CARDOSO DA SILVA		RODRIGO AUGUSTO CARDOSO DA SILVA	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NA2MCTA023-17SA	Segurança de Dados A2-noturno (Santo André)	segunda das 19:00 às 21:00, sala A-108-0, semanal	quarta das 21:00 às 23:00, sala 407-2, semanal	Santo André	noturno	3-1-4	RODRIGO AUGUSTO CARDOSO DA SILVA		RODRIGO AUGUSTO CARDOSO DA SILVA	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DA2MCTA023-17SA	Segurança de Dados A2-diurno (Santo André)	segunda das 08:00 às 10:00, sala A-108-0, semanal	quarta das 08:00 às 10:00, sala 407-2, semanal	Santo André	diurno	3-1-4	DENISE HIDEKO GOYA		DENISE HIDEKO GOYA	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DA1MCTA026-13SA	Sistemas Operacionais A1-diurno (Santo André)	quinta das 08:00 às 10:00, sala A-108-0, semanal	segunda das 08:00 às 10:00, sala 405-2, semanal	Santo André	diurno	3-1-4	VALERIO RAMOS BATISTA		VALERIO RAMOS BATISTA	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NA1MCTA026-13SA	Sistemas Operacionais A1-noturno (Santo André)	quinta das 19:00 às 21:00, sala A-114-0, semanal	segunda das 19:00 às 21:00, sala 405-2, semanal	Santo André	noturno	3-1-4	VALERIO RAMOS BATISTA		VALERIO RAMOS BATISTA	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NA2MCTA026-13SA	Sistemas Operacionais A2-noturno (Santo André)	quinta das 19:00 às 21:00, sala A-114-0, semanal	segunda das 21:00 às 23:00, sala 405-2, semanal	Santo André	noturno	3-1-4	VALERIO RAMOS BATISTA		VALERIO RAMOS BATISTA	
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DA2MCTA026-13SA	Sistemas Operacionais A2-diurno (Santo André)	quinta das 08:00 às 10:00, sala A-108-0, semanal	segunda das 10:00 às 12:00, sala 405-2, semanal	Santo André	diurno	3-1-4	VALERIO RAMOS BATISTA		VALERIO RAMOS BATISTA	
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DA1BCS0001-15SA	Base Experimental das Ciências Naturais A1-diurno (Santo André)	0	sexta das 14:00 às 17:00, sala L605, semanal	Santo André	diurno	0-3-2			MICHELLE SATO FRIGO	
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DA2BCS0001-15SA	Base Experimental das Ciências Naturais A2-diurno (Santo André)	0	sexta das 14:00 às 17:00, sala 402-3, semanal	Santo André	diurno	0-3-2			JEROEN SCHOENMAKER	
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DA3BCS0001-15SA	Base Experimental das Ciências Naturais A3-diurno (Santo André)	0	sexta das 14:00 às 17:00, sala 404-3, semanal	Santo André	diurno	0-3-2			TALES ALEXANDRE DA COSTA E SILVA	
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DA1BIR0004-15SA	Bases Epistemológicas da Ciência Moderna A1- diurno (Santo André)	segunda das 10:00 às 12:00, sala A-103-0, semanal , quinta das 08:00 às 10:00, sala A-103- 0, quinzenal I	0	Santo André	diurno	3-0-4	BRUNA MENDES DE VASCONCELLOS			
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DB1BIR0004-15SA	Bases Epistemológicas da Ciência Moderna B1- diurno (Santo André)	segunda das 08:00 às 10:00, sala S-206-0, semanal , quinta das 10:00 às 12:00, sala S-206- 0, quinzenal I	0	Santo André	diurno	3-0-4	BRUNA MENDES DE VASCONCELLOS			
BACHARELADO EM CIÊNCIA E TECNOLOGIA	NA1BIR0004-15SA	Bases Epistemológicas da Ciência Moderna A1- noturno (Santo André)	segunda das 21:00 às 23:00, sala A-103-0, semanal , quinta das 19:00 às 21:00, sala A-103- 0, quinzenal I	0	Santo André	noturno	3-0-4	WILLIAM JOSE STEINLE			
BACHARELADO EM CIÊNCIA E TECNOLOGIA	NB1BIR0004-15SA	Bases Epistemológicas da Ciência Moderna B1- noturno (Santo André)	segunda das 19:00 às 21:00, sala S-206-0, semanal , quinta das 21:00 às 23:00, sala S-206- 0, quinzenal I	0	Santo André	noturno	3-0-4	WILLIAM JOSE STEINLE			
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DA1BIR0004-15SB	Bases Epistemológicas da Ciência Moderna A1- diurno (São Bernardo do Campo)	segunda das 10:00 às 12:00, sala A1-S201-SB, semanal , quinta das 08:00 às 10:00, sala A1- S201-SB, quinzenal I	0	São Bernardo do Campo	diurno	3-0-4	ANASTASIA GUIDI ITOKAZU			
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DB1BIR0004-15SB	Bases Epistemológicas da Ciência Moderna B1- diurno (São Bernardo do Campo)	segunda das 08:00 às 10:00, sala A1-S202-SB, semanal , quinta das 10:00 às 12:00, sala A1- S202-SB, quinzenal I	0	São Bernardo do Campo	diurno	3-0-4	ANASTASIA GUIDI ITOKAZU			
BACHARELADO EM CIÊNCIA E TECNOLOGIA	NA1BIR0004-15SB	Bases Epistemológicas da Ciência Moderna A1- noturno (São Bernardo do Campo)	segunda das 21:00 às 23:00, sala A1-S201-SB, semanal , quinta das 19:00 às 21:00, sala A1- S201-SB, quinzenal I	0	São Bernardo do Campo	noturno	3-0-4	ALBERTO EDMUNDO FABRICIO CANSECO			
BACHARELADO EM CIÊNCIA E TECNOLOGIA	NB1BIR0004-15SB	Bases Epistemológicas da Ciência Moderna B1- noturno (São Bernardo do Campo)	segunda das 19:00 às 21:00, sala A1-S202-SB, semanal , quinta das 21:00 às 23:00, sala A1- S202-SB, quinzenal I	0	São Bernardo do Campo	noturno	3-0-4	ALBERTO EDMUNDO FABRICIO CANSECO			
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DA1BCL0306-15SA	Biodiversidade: Interações entre organismos e ambiente A1-diurno (Santo André)	segunda das 16:00 às 18:00, sala A-104-0, semanal , quinta das 14:00 às 16:00, sala A-104- 0, quinzenal II	0	Santo André	diurno	3-0-4	ANDRE ETEROVIC			
BACHARELADO EM CIÊNCIA E TECNOLOGIA	NA1BCL0306-15SA	Biodiversidade: Interações entre organismos e ambiente A1-noturno (Santo André)	segunda das 21:00 às 23:00, sala A-101-0, semanal , quinta das 19:00 às 21:00, sala A-104- 0, quinzenal II	0	Santo André	noturno	3-0-4	SIMONE RODRIGUES DE FREITAS			
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DA1BCL0306-15SB	Biodiversidade: Interações entre organismos e ambiente A1-diurno (São Bernardo do Campo)	segunda das 16:00 às 18:00, sala A1-S205-SB, semanal , quinta das 14:00 às 16:00, sala A1- S205-SB, quinzenal II	0	São Bernardo do Campo	diurno	3-0-4	CARLOS SUETOSHI MIYAZAWA			
BACHARELADO EM CIÊNCIA E TECNOLOGIA	NA1BCL0306-15SB	Biodiversidade: Interações entre organismos e ambiente A1-noturno (São Bernardo do Campo)	segunda das 21:00 às 23:00, sala A1-S205-SB, semanal , quinta das 19:00 às 21:00, sala A1- S205-SB, quinzenal II	0	São Bernardo do Campo	noturno	3-0-4	MATHEUS FORTES SANTOS			
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DA1BCL0308-15SA	Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A1-diurno (Santo André)	quarta das 10:00 às 12:00, sala S-211-0, semanal , quinta das 10:00 às 12:00, sala S-211- 0, quinzenal II	segunda das 08:00 às 10:00, sala L606, semanal	Santo André	diurno	3-2-6	GISELLE CERCHIARO		LIVIA SENO FERREIRA CAMARGO	
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DA2BCL0308-15SA	Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A2-diurno (Santo André)	quarta das 10:00 às 12:00, sala S-211-0, semanal , quinta das 10:00 às 12:00, sala S-211- 0, quinzenal II	segunda das 08:00 às 10:00, sala 405-3, semanal	Santo André	diurno	3-2-6	GISELLE CERCHIARO		PATRICIA DANTONI	
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DA4BCL0308-15SA	Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A4-diurno (Santo André)	quarta das 10:00 às 12:00, sala A-107-0, semanal , quinta das 10:00 às 12:00, sala A-107- 0, quinzenal II	segunda das 08:00 às 10:00, sala L601, semanal	Santo André	diurno	3-2-6	TIAGO RODRIGUES		ALEXANDRE ZATKOVSKIS CARVALHO	
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DA5BCL0308-15SA	Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A5-diurno (Santo André)	quarta das 10:00 às 12:00, sala A-107-0, semanal , quinta das 10:00 às 12:00, sala A-107- 0, quinzenal II	segunda das 08:00 às 10:00, sala L602, semanal	Santo André	diurno	3-2-6	TIAGO RODRIGUES		LUIZ ROBERTO NUNES	
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DA6BCL0308-15SA	Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A6-diurno (Santo André)	quarta das 10:00 às 12:00, sala A-107-0, semanal , quinta das 10:00 às 12:00, sala A-107- 0, quinzenal II	segunda das 08:00 às 10:00, sala L605, semanal	Santo André	diurno	3-2-6	TIAGO RODRIGUES		MAURO COELHO DOS SANTOS	
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DB1BCL0308-15SA	Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas B1-diurno (Santo André)	quarta das 08:00 às 10:00, sala S-212-0, semanal , quinta das 08:00 às 10:00, sala S-212- 0, quinzenal II	segunda das 10:00 às 12:00, sala L606, semanal	Santo André	diurno	3-2-6	GISELLE CERCHIARO		LIVIA SENO FERREIRA CAMARGO	
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DB2BCL0308-15SA	Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas B2-diurno (Santo André)	quarta das 08:00 às 10:00, sala S-212-0, semanal , quinta das 08:00 às 10:00, sala S-212- 0, quinzenal II	segunda das 10:00 às 12:00, sala 405-3, semanal	Santo André	diurno	3-2-6	GISELLE CERCHIARO		PATRICIA DANTONI	
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DB3BCL0308-15SA	Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas B3-diurno (Santo André)	quarta das 08:00 às 10:00, sala S-212-0, semanal , quinta das 08:00 às 10:00, sala S-212- 0, quinzenal II	segunda das 10:00 às 12:00, sala 408-3, semanal	Santo André	diurno	3-2-6	GISELLE CERCHIARO		ANA CAROLINA SANTOS DE SOUZA GALVÃO	
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DB4BCL0308-15SA	Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas B4-diurno (Santo André)	quarta das 08:00 às 10:00, sala S-208-0, semanal , quinta das 08:00 às 10:00, sala S-208- 0, quinzenal II	segunda das 10:00 às 12:00, sala L601, semanal	Santo André	diurno	3-2-6	TIAGO RODRIGUES		ALEXANDRE ZATKOVSKIS CARVALHO	
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DB5BCL0308-15SA	Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas B5-diurno (Santo André)	quarta das 08:00 às 10:00, sala S-208-0, semanal , quinta das 08:00 às 10:00, sala S-208- 0, quinzenal II	segunda das 10:00 às 12:00, sala L602, semanal	Santo André	diurno	3-2-6	TIAGO RODRIGUES		TIAGO RODRIGUES	
BACHARELADO EM CIÊNCIA E TECNOLOGIA	DB6BCL0308-15SA	Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas B6-diurno (Santo André)	quarta das 08:00 às 10:00, sala S-208-0, semanal , quinta das 08:00 às 10:00, sala S-208- 0, quinzenal II	segunda das 10:00 às 12:00, sala L605, semanal	Santo André	diurno	3-2-6	TIAGO RODRIGUES		MARCIA APARECIDA DA SILVA SPINACE	
