BACHARELADO EM BIOTECNOLOGIA	DA1NHT1002-15SA	Bioética A1-diurno (Santo André)	segunda das 10:00 às 12:00, sala L604, semanal	0	Santo André	diurno	2-0-2
BACHARELADO EM BIOTECNOLOGIA	NA1NHT1002-15SA	Bioética A1-noturno (Santo André)	segunda das 19:00 às 21:00, sala L604, semanal	0	Santo André	noturno	2-0-2
BACHARELADO EM BIOTECNOLOGIA	DANHZ1009-15SA	Biologia Molecular e Biotecnologia A-diurno (Santo André)	sexta das 09:00 às 12:00, sala 302-2, semanal	0	Santo André	diurno	3-0-3
BACHARELADO EM BIOTECNOLOGIA	NANHZ1009-15SA	Biologia Molecular e Biotecnologia A-noturno (Santo André)	sexta das 19:00 às 22:00, sala 302-2, semanal	0	Santo André	noturno	3-0-3
BACHARELADO EM BIOTECNOLOGIA	DANHZ1027-15SA	Farmacologia A-diurno (Santo André)	terça das 10:00 às 12:00, sala S-310-3, semanal , quinta das 08:00 às 10:00, sala S-304-2, semanal	quinta das 10:00 às 12:00, sala 402-3, semanal	Santo André	diurno	4-2-4
BACHARELADO EM BIOTECNOLOGIA	NANHZ1027-15SA	Farmacologia A-noturno (Santo André)	terça das 21:00 às 23:00, sala S-304-2, semanal , quinta das 19:00 às 21:00, sala S-310-3, semanal	quinta das 21:00 às 23:00, sala 402-3, semanal	Santo André	noturno	4-2-4
BACHARELADO EM BIOTECNOLOGIA	DANHZ6010-18SA	Genômica e Pós-Genômica A-diurno (Santo André)	0	segunda das 08:00 às 12:00, sala 408-2, semanal , quarta das 10:00 às 12:00, sala 408-2, semanal	Santo André	diurno	4-2-6
BACHARELADO EM BIOTECNOLOGIA	NANHZ6010-18SA	Genômica e Pós-Genômica A-noturno (Santo André)	0	segunda das 19:00 às 23:00, sala 408-2, semanal , quarta das 19:00 às 21:00, sala 408-2, semanal	Santo André	noturno	4-2-6
BACHARELADO EM BIOTECNOLOGIA	DAESZB015-17SA	Laboratório de Bioinformática A-diurno (Santo André)	0	quarta das 08:00 às 12:00, sala L503, semanal	Santo André	diurno	0-4-5
BACHARELADO EM BIOTECNOLOGIA	NAESZB015-17SA	Laboratório de Bioinformática A-noturno (Santo André)	0	quarta das 19:00 às 23:00, sala L503, semanal	Santo André	noturno	0-4-5
BACHARELADO EM BIOTECNOLOGIA	DANHBT005-23SA	Práticas Extensionistas em Biotecnologia A-diurno (Santo André)	0	segunda das 09:00 às 12:00, sala L501, semanal	Santo André	diurno	2-1-8
BACHARELADO EM BIOTECNOLOGIA	NANHBT005-23SA	Práticas Extensionistas em Biotecnologia A- noturno (Santo André)	0	segunda das 20:00 às 23:00, sala L502, semanal	Santo André	noturno	2-1-8
BACHARELADO EM BIOTECNOLOGIA	DANHZ6007-18SA	Segurança e Regulamentação em Biotecnologia A- diurno (Santo André)	terça das 08:00 às 10:00, sala S-502, semanal	0	Santo André	diurno	2-0-4
BACHARELADO EM BIOTECNOLOGIA	NANHZ6007-18SA	Segurança e Regulamentação em Biotecnologia A- noturno (Santo André)	terça das 19:00 às 21:00, sala S-504, semanal	0	Santo André	noturno	2-0-4
BACHARELADO EM BIOTECNOLOGIA	DANHZ6014-18SA	Trabalho de Conclusão de Curso de Biotecnologia A diurno (Santo André)	quinta das 10:00 às 12:00, sala S-304-2, semanal	0	Santo André	diurno	2-0-2
BACHARELADO EM BIOTECNOLOGIA	NANHZ6014-18SA	Trabalho de Conclusão de Curso de Biotecnologia A noturno (Santo André)	quinta das 19:00 às 21:00, sala S-304-2, semanal	0	Santo André	noturno	2-0-2
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DA1MCTA001-17SA	Algoritmos e Estruturas de Dados I A1-diurno (Santo André)	quinta das 10:00 às 12:00, sala S-204-0, semanal	segunda das 08:00 às 10:00, sala 407-2, semanal	Santo André	diurno	2-2-4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NA1MCTA001-17SA	Algoritmos e Estruturas de Dados I A1-noturno (Santo André)	quinta das 21:00 às 23:00, sala S-214-0, semanal	segunda das 19:00 às 21:00, sala 407-2, semanal	Santo André	noturno	2-2-4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DA2MCTA001-17SA	Algoritmos e Estruturas de Dados I A2-diurno (Santo André)	quinta das 10:00 às 12:00, sala S-204-0, semanal	segunda das 10:00 às 12:00, sala 407-2, semanal	Santo André	diurno	2-2-4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NA2MCTA001-17SA	Algoritmos e Estruturas de Dados I A2-noturno (Santo André)	quinta das 21:00 às 23:00, sala S-214-0, semanal	segunda das 21:00 às 23:00, sala 407-2, semanal	Santo André	noturno	2-2-4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DPMCTA004-17SA	Arquitetura de Computadores P-diurno (Santo André) - TURMA COMPARTILHADA COM A PÓS- GRADUAÇÃO	terça das 14:00 às 16:00, sala S - 306-1, semanal , quinta das 16:00 às 18:00, sala S - 306-1, semanal	0	Santo André	diurno	4-0-4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DA1MCTA006-17SA	Circuitos Digitais A1-diurno (Santo André)	quinta das 08:00 às 10:00, sala A-114-0, semanal	terça das 08:00 às 10:00, sala 406-2, semanal	Santo André	diurno	3-1-4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NA1MCTA006-17SA	Circuitos Digitais A1-noturno (Santo André)	quinta das 19:00 às 21:00, sala A-108-0, semanal	terça das 19:00 às 21:00, sala 406-2, semanal	Santo André	noturno	3-1-4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DA2MCTA006-17SA	Circuitos Digitais A2-diurno (Santo André)	quinta das 08:00 às 10:00, sala A-114-0, semanal	terça das 10:00 às 12:00, sala 406-2, semanal	Santo André	diurno	3-1-4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NA2MCTA006-17SA	Circuitos Digitais A2-noturno (Santo André)	quinta das 19:00 às 21:00, sala A-108-0, semanal	terça das 21:00 às 23:00, sala 406-2, semanal	Santo André	noturno	3-1-4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NAMCZA006-17SA	Computação Evolutiva e Conexionista A-noturno (Santo André)	terça das 21:00 às 23:00, sala S-214-0, semanal , quinta das 19:00 às 21:00, sala S-214-0, semanal	0	Santo André	noturno	4-0-4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DAMCZA053-22SA	Desenvolvimento Guiado por Tipos A-diurno (Santo André)	segunda das 10:00 às 12:00, sala S-214-0, semanal , quarta das 08:00 às 10:00, sala S-214- 0, semanal	0	Santo André	diurno	4-0-4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DAMCTA033-15SA	Engenharia de Software A-diurno (Santo André)	terça das 10:00 às 12:00, sala A-114-0, semanal , sexta das 08:00 às 10:00, sala A-114-0, semanal	0	Santo André	diurno	4-0-4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NAMCTA033-15SA	Engenharia de Software A-noturno (Santo André)	terça das 21:00 às 23:00, sala A-114-0, semanal , sexta das 19:00 às 21:00, sala A-114-0, semanal	0	Santo André	noturno	4-0-4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DPMCTA033-15SA	Engenharia de Software P-diurno (Santo André) - TURMA COMPARTILHADA COM A PÓS- GRADUAÇÃO	terça das 16:00 às 18:00, sala S - 307-2, semanal , quinta das 14:00 às 16:00, sala S - 307-2, semanal	0	Santo André	diurno	4-0-4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DAMCZA008-17SA	Interação Humano-Computador A-diurno (Santo André)	terça das 10:00 às 12:00, sala S-214-0, semanal , quinta das 08:00 às 10:00, sala S-214-0, semanal	0	Santo André	diurno	4-0-4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DAMCTA015-13SA	Linguagens Formais e Automata A-diurno (Santo André)	terça das 08:00 às 10:00, sala A-114-0, semanal , quinta das 10:00 às 12:00, sala A-114-0, semanal	0	Santo André	diurno	3-1-4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NAMCTA015-13SA	Linguagens Formais e Automata A-noturno (Santo André)	terça das 19:00 às 21:00, sala A-114-0, semanal , quinta das 21:00 às 23:00, sala A-114-0, semanal	0	Santo André	noturno	3-1-4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DAMCZA013-13SA	Lógicas Não Clássicas A-diurno (Santo André)	terça das 08:00 às 10:00, sala S-504, semanal , quinta das 10:00 às 12:00, sala S-504, semanal	0	Santo André	diurno	4-0-4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	DAMCTB019-17SA	Matemática Discreta A-diurno (Santo André)	quarta das 10:00 às 12:00, sala S-214-0, semanal , sexta das 08:00 às 10:00, sala S-214- 0, semanal	0	Santo André	diurno	4-0-4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO	NAMCTB019-17SA	Matemática Discreta A-noturno (Santo André)	quarta das 21:00 às 23:00, sala A-108-0, semanal , sexta das 19:00 às 21:00, sala A-108- 0, semanal	0	Santo André	noturno	4-0-4
